Date,^DJT
1992-01-31,1354.300048828125
1992-02-29,1428.300048828125
1992-03-31,1383.800048828125
1992-04-30,1372.5699462890625
1992-05-31,1370.0999755859375
1992-06-30,1315.800048828125
1992-07-31,1317.5999755859375
1992-08-31,1221.300048828125
1992-09-30,1276.5999755859375
1992-10-31,1352.300048828125
1992-11-30,1416.800048828125
1992-12-31,1449.2099609375
1993-01-31,1506.4000244140625
1993-02-28,1518.0999755859375
1993-03-31,1570.0999755859375
1993-04-30,1592.800048828125
1993-05-31,1579.0999755859375
1993-06-30,1549.9000244140625
1993-07-31,1613.800048828125
1993-08-31,1665.5
1993-09-30,1628.0999755859375
1993-10-31,1727.0999755859375
1993-11-30,1757.199951171875
1993-12-31,1762.300048828125
1994-01-31,1859.0
1994-02-28,1762.300048828125
1994-03-31,1635.199951171875
1994-04-30,1660.0999755859375
1994-05-31,1627.9000244140625
1994-06-30,1595.699951171875
1994-07-31,1587.300048828125
1994-08-31,1642.199951171875
1994-09-30,1491.5999755859375
1994-10-31,1527.0
1994-11-30,1443.4000244140625
1994-12-31,1455.0
1995-01-31,1493.5
1995-02-28,1595.68994140625
1995-03-31,1635.699951171875
1995-04-30,1686.300048828125
1995-05-31,1663.0
1995-06-30,1748.699951171875
1995-07-31,1891.5
1995-08-31,1900.9000244140625
1995-09-30,1954.300048828125
1995-10-31,1936.0999755859375
1995-11-30,2070.300048828125
1995-12-31,1981.0
1996-01-31,1946.699951171875
1996-02-29,2051.60009765625
1996-03-31,2152.10009765625
1996-04-30,2205.89990234375
1996-05-31,2228.0
1996-06-30,2181.800048828125
1996-07-31,2008.0
1996-08-31,2044.800048828125
1996-09-30,2079.0
1996-10-31,2133.60009765625
1996-11-30,2290.800048828125
1996-12-31,2255.699951171875
1997-01-31,2324.10009765625
1997-02-28,2317.0
1997-03-31,2358.300048828125
1997-04-30,2572.5
1997-05-31,2684.10009765625
1997-06-30,2713.60009765625
1997-07-31,2992.10009765625
1997-08-31,2870.199951171875
1997-09-30,3179.699951171875
1997-10-31,3131.5
1997-11-30,3200.0
1997-12-31,3256.5
1998-01-31,3309.070068359375
1998-02-28,3364.919921875
1998-03-31,3577.090087890625
1998-04-30,3509.169921875
1998-05-31,3346.610107421875
1998-06-30,3475.2900390625
1998-07-31,3230.31005859375
1998-08-31,2752.510009765625
1998-09-30,2644.669921875
1998-10-31,2891.919921875
1998-11-30,3031.22998046875
1998-12-31,3149.31005859375
1999-01-31,3202.3701171875
1999-02-28,3207.429931640625
1999-03-31,3299.0400390625
1999-04-30,3647.2900390625
1999-05-31,3415.699951171875
1999-06-30,3404.360107421875
1999-07-31,3333.239990234375
1999-08-31,3076.10009765625
1999-09-30,2909.159912109375
1999-10-31,3058.97998046875
1999-11-30,2909.719970703125
1999-12-31,2977.199951171875
2000-01-31,2571.64990234375
2000-02-29,2388.860107421875
2000-03-31,2763.239990234375
2000-04-30,2850.010009765625
2000-05-31,2709.989990234375
2000-06-30,2645.3701171875
2000-07-31,2858.090087890625
2000-08-31,2723.6298828125
2000-09-30,2521.639892578125
2000-10-31,2744.6201171875
2000-11-30,2751.18994140625
2000-12-31,2946.60009765625
2001-01-31,3107.760009765625
2001-02-28,2925.0400390625
2001-03-31,2771.360107421875
2001-04-30,2827.0400390625
2001-05-31,2945.89990234375
2001-06-30,2829.9599609375
2001-07-31,2906.179931640625
2001-08-31,2813.409912109375
2001-09-30,2194.679931640625
2001-10-31,2195.840087890625
2001-11-30,2511.780029296875
2001-12-31,2639.989990234375
2002-01-31,2797.830078125
2002-02-28,2810.929931640625
2002-03-31,2917.9599609375
2002-04-30,2704.719970703125
2002-05-31,2749.260009765625
2002-06-30,2731.639892578125
2002-07-31,2370.050048828125
2002-08-31,2265.6298828125
2002-09-30,2151.070068359375
2002-10-31,2260.070068359375
2002-11-30,2360.6201171875
2002-12-31,2309.9599609375
2003-01-31,2173.35009765625
2003-02-28,2049.050048828125
2003-03-31,2131.2099609375
2003-04-30,2408.8701171875
2003-05-31,2486.35009765625
2003-06-30,2412.860107421875
2003-07-31,2622.6298828125
2003-08-31,2683.239990234375
2003-09-30,2673.860107421875
2003-10-31,2913.110107421875
2003-11-30,2921.22998046875
2003-12-31,3007.050048828125
2004-01-31,2885.949951171875
2004-02-29,2902.18994140625
2004-03-31,2895.429931640625
2004-04-30,2886.43994140625
2004-05-31,2948.010009765625
2004-06-30,3204.31005859375
2004-07-31,3111.68994140625
2004-08-31,3105.4599609375
2004-09-30,3243.510009765625
2004-10-31,3497.419921875
2004-11-30,3658.7099609375
2004-12-31,3798.050048828125
2005-01-31,3598.47998046875
2005-02-28,3726.64990234375
2005-03-31,3715.969970703125
2005-04-30,3426.43994140625
2005-05-31,3599.580078125
2005-06-30,3487.760009765625
2005-07-31,3799.949951171875
2005-08-31,3680.860107421875
2005-09-30,3740.550048828125
2005-10-31,3815.4599609375
2005-11-30,4113.7998046875
2005-12-31,4196.02978515625
2006-01-31,4367.5400390625
2006-02-28,4436.39013671875
2006-03-31,4568.0
2006-04-30,4664.490234375
2006-05-31,4669.64990234375
2006-06-30,4928.89013671875
2006-07-31,4381.990234375
2006-08-31,4282.93994140625
2006-09-30,4453.4599609375
2006-10-31,4726.60986328125
2006-11-30,4727.419921875
2006-12-31,4560.2001953125
2007-01-31,4916.81982421875
2007-02-28,4863.52001953125
2007-03-31,4810.7001953125
2007-04-30,5037.35009765625
2007-05-31,5292.81982421875
2007-06-30,5098.8798828125
2007-07-31,5030.02001953125
2007-08-31,4878.75
2007-09-30,4836.31982421875
