Date,^DJT
2007-10-31,4907.9599609375
2007-11-30,4661.2900390625
2007-12-31,4570.5498046875
2008-01-31,4751.93994140625
2008-02-29,4550.580078125
2008-03-31,4783.8798828125
2008-04-30,5168.1298828125
2008-05-31,5437.5400390625
2008-06-30,4948.02978515625
2008-07-31,5071.91015625
2008-08-31,5103.39990234375
2008-09-30,4616.009765625
2008-10-31,3885.830078125
2008-11-30,3512.199951171875
2008-12-31,3537.14990234375
2009-01-31,2965.68994140625
2009-02-28,2499.070068359375
2009-03-31,2684.080078125
2009-04-30,3144.14990234375
2009-05-31,3202.449951171875
2009-06-30,3234.56005859375
2009-07-31,3579.989990234375
2009-08-31,3667.159912109375
2009-09-30,3799.840087890625
2009-10-31,3613.340087890625
2009-11-30,3937.889892578125
2009-12-31,4099.6298828125
2010-01-31,3895.530029296875
2010-02-28,4134.56982421875
2010-03-31,4374.6201171875
2010-04-30,4670.919921875
2010-05-31,4336.06005859375
2010-06-30,4007.840087890625
2010-07-31,4422.93994140625
2010-08-31,4122.6298828125
2010-09-30,4522.31982421875
2010-10-31,4754.2900390625
2010-11-30,4855.77978515625
2010-12-31,5106.75
2011-01-31,5025.10986328125
2011-02-28,5084.89990234375
2011-03-31,5299.89013671875
2011-04-30,5514.8701171875
2011-05-31,5469.5498046875
2011-06-30,5423.81982421875
2011-07-31,5184.0498046875
2011-08-31,4666.9599609375
2011-09-30,4189.3701171875
2011-10-31,4892.56982421875
2011-11-30,4946.169921875
2011-12-31,5019.68994140625
2012-01-31,5319.14013671875
2012-02-29,5153.16015625
2012-03-31,5253.16015625
2012-04-30,5230.240234375
2012-05-31,5074.7001953125
2012-06-30,5209.18017578125
2012-07-31,5088.33984375
2012-08-31,5007.490234375
2012-09-30,4892.6201171875
2012-10-31,5085.02978515625
2012-11-30,5119.10986328125
2012-12-31,5306.77001953125
2013-01-31,5804.22998046875
2013-02-28,5993.35009765625
2013-03-31,6255.330078125
2013-04-30,6177.9501953125
2013-05-31,6290.18017578125
2013-06-30,6173.85986328125
2013-07-31,6461.7998046875
2013-08-31,6249.8798828125
2013-09-30,6582.43017578125
2013-10-31,6975.18017578125
2013-11-30,7235.68994140625
2013-12-31,7400.56982421875
2014-01-31,7289.18017578125
2014-02-28,7348.3701171875
2014-03-31,7574.9599609375
2014-04-30,7672.18994140625
2014-05-31,8104.56982421875
2014-06-30,8202.2998046875
2014-07-31,8141.75
2014-08-31,8408.01953125
2014-09-30,8451.099609375
2014-10-31,8755.509765625
2014-11-30,9198.2001953125
2014-12-31,9139.919921875
2015-01-31,8649.3203125
2015-02-28,9024.51953125
2015-03-31,8741.41015625
2015-04-30,8592.8896484375
2015-05-31,8299.75
2015-06-30,8092.27978515625
2015-07-31,8391.9599609375
2015-08-31,7845.14990234375
2015-09-30,7785.6298828125
2015-10-31,8128.06982421875
2015-11-30,8101.4501953125
2015-12-31,7508.7099609375
2016-01-31,6906.759765625
2016-02-29,7345.02978515625
2016-03-31,7944.10986328125
2016-04-30,7871.6298828125
2016-05-31,7798.35009765625
2016-06-30,7485.1298828125
2016-07-31,7846.41015625
2016-08-31,7878.68994140625
2016-09-30,8078.7900390625
2016-10-31,8058.02001953125
2016-11-30,8981.650390625
2016-12-31,9043.900390625
2017-01-31,9191.98046875
2017-02-28,9419.8603515625
2017-03-31,9116.509765625
2017-04-30,9097.6298828125
2017-05-31,9163.900390625
2017-06-30,9563.73046875
2017-07-31,9182.7802734375
2017-08-31,9319.0498046875
2017-09-30,9914.349609375
2017-10-31,9758.4697265625
2017-11-30,10274.76953125
2017-12-31,10612.2900390625
2018-01-31,10972.0595703125
2018-02-28,10381.990234375
2018-03-31,10396.5595703125
2018-04-30,10423.5703125
2018-05-31,10750.330078125
2018-06-30,10344.990234375
2018-07-31,11077.099609375
2018-08-31,11303.759765625
2018-09-30,11379.3603515625
2018-10-31,10191.1796875
2018-11-30,10820.2001953125
2018-12-31,9170.400390625
2019-01-31,10059.3701171875
2019-02-28,10467.2197265625
2019-03-31,10407.9599609375
2019-04-30,10847.01953125
2019-05-31,9738.0302734375
2019-06-30,10461.98046875
2019-07-31,10701.75
2019-08-31,10126.98046875
2019-09-30,10363.580078125
2019-10-31,10498.8603515625
2019-11-30,10857.5703125
2019-12-31,10901.2802734375
2020-01-31,10566.740234375
2020-02-29,9388.1904296875
2020-03-31,7732.31982421875
2020-04-30,8377.080078125
2020-05-31,8969.7900390625
2020-06-30,9172.7197265625
2020-07-31,9994.8095703125
2020-08-31,11185.349609375
2020-09-30,11229.7197265625
2020-10-31,11106.1904296875
2020-11-30,12450.169921875
2020-12-31,12506.9296875
2021-01-31,12087.990234375
2021-02-28,13331.26953125
2021-03-31,14631.3896484375
2021-04-30,15347.0
2021-05-31,15750.3095703125
2021-06-30,14880.7900390625
2021-07-31,14460.7998046875
2021-08-31,14661.48046875
2021-09-30,14002.419921875
2021-10-31,15906.580078125
2021-11-30,15843.150390625
2021-12-31,16478.259765625
2022-01-31,15282.830078125
2022-02-28,15268.4501953125
2022-03-31,16283.01953125
2022-04-30,14865.0595703125
2022-05-31,14301.490234375
2022-06-30,13156.900390625
2022-07-31,14609.0
2022-08-31,13860.650390625
2022-09-30,12058.259765625
2022-10-31,13583.7900390625
2022-11-30,14649.2001953125
2022-12-31,13391.91015625
2023-01-31,14648.33984375
2023-02-28,14722.6796875
2023-03-31,14438.66015625
2023-04-30,14021.8701171875
2023-05-31,13709.740234375
2023-06-30,15529.76953125
2023-07-31,16616.419921875
2023-08-31,15725.2001953125
2023-09-30,14968.76953125
2023-10-31,13895.76953125
2023-11-30,15018.509765625
2023-12-31,15898.849609375
2024-01-31,15515.7998046875
2024-02-29,15841.58984375
2024-03-31,16211.6201171875
2024-04-30,14909.509765625
2024-05-31,15238.2998046875
2024-06-30,15415.23046875
2024-07-31,16083.8603515625
2024-08-31,16043.849609375
2024-09-30,16294.5
2024-10-31,16252.150390625
2024-11-30,17618.630859375
2024-12-31,15895.75
2025-01-31,16306.83984375
2025-02-28,15986.490234375
2025-03-31,14746.16015625
2025-04-30,13639.75
2025-05-31,14686.2998046875
2025-06-30,15394.509765625
2025-07-31,15446.2802734375
2025-08-31,15904.849609375
2025-09-30,15715.5400390625
2025-10-31,15587.6796875
