Date,Close
1992-01-02,1342.0999755859375
1992-01-03,1350.699951171875
1992-01-06,1365.5
1992-01-07,1383.0
1992-01-08,1380.4000244140625
1992-01-09,1367.5
1992-01-10,1351.800048828125
1992-01-13,1364.199951171875
1992-01-14,1387.300048828125
1992-01-15,1431.4000244140625
1992-01-16,1445.800048828125
1992-01-17,1421.9000244140625
1992-01-20,1411.4000244140625
1992-01-21,1391.0999755859375
1992-01-22,1407.0999755859375
1992-01-23,1384.699951171875
1992-01-24,1362.300048828125
1992-01-27,1356.300048828125
1992-01-28,1356.300048828125
1992-01-29,1348.699951171875
1992-01-30,1368.300048828125
1992-01-31,1354.300048828125
1992-02-03,1362.5
1992-02-04,1368.300048828125
1992-02-05,1383.4000244140625
1992-02-06,1392.199951171875
1992-02-07,1383.199951171875
1992-02-10,1388.800048828125
1992-02-11,1390.300048828125
1992-02-12,1405.5999755859375
1992-02-13,1386.199951171875
1992-02-14,1406.199951171875
1992-02-18,1420.0
1992-02-19,1424.9000244140625
1992-02-20,1467.699951171875
1992-02-21,1466.9000244140625
1992-02-24,1451.800048828125
1992-02-25,1430.0999755859375
1992-02-26,1443.800048828125
1992-02-27,1432.199951171875
1992-02-28,1428.300048828125
1992-03-02,1443.0
1992-03-03,1457.4000244140625
1992-03-04,1455.699951171875
1992-03-05,1438.0
1992-03-06,1413.0999755859375
1992-03-09,1404.9000244140625
1992-03-10,1408.0999755859375
1992-03-11,1390.0
1992-03-12,1393.0999755859375
1992-03-13,1400.800048828125
1992-03-16,1395.699951171875
1992-03-17,1408.800048828125
1992-03-18,1401.699951171875
1992-03-19,1420.800048828125
1992-03-20,1433.6700439453125
1992-03-23,1417.0
1992-03-24,1397.0999755859375
1992-03-25,1390.9000244140625
1992-03-26,1392.0
1992-03-27,1379.699951171875
1992-03-30,1372.4000244140625
1992-03-31,1383.800048828125
1992-04-01,1381.199951171875
1992-04-02,1366.5999755859375
1992-04-03,1348.300048828125
1992-04-06,1353.300048828125
1992-04-07,1312.199951171875
1992-04-08,1301.5999755859375
1992-04-09,1338.5999755859375
1992-04-10,1347.4000244140625
1992-04-13,1337.300048828125
1992-04-14,1365.5
1992-04-15,1395.699951171875
1992-04-16,1396.9000244140625
1992-04-20,1371.5999755859375
1992-04-21,1354.800048828125
1992-04-22,1343.5999755859375
1992-04-23,1375.800048828125
1992-04-24,1360.199951171875
1992-04-27,1350.199951171875
1992-04-28,1353.300048828125
1992-04-29,1367.5
1992-04-30,1372.5699462890625
1992-05-01,1359.5
1992-05-04,1380.800048828125
1992-05-05,1394.300048828125
1992-05-06,1407.699951171875
1992-05-07,1395.0
1992-05-08,1399.699951171875
