Date,XHB
2006-02-06,37.276241302490234
2006-02-07,36.324058532714844
2006-02-08,36.936763763427734
2006-02-09,36.66351318359375
2006-02-10,36.26608657836914
2006-02-13,36.017704010009766
2006-02-14,36.63869094848633
2006-02-15,36.994728088378906
2006-02-16,37.42528533935547
2006-02-17,37.10236740112305
2006-02-21,37.325927734375
2006-02-22,38.013153076171875
2006-02-23,37.76476287841797
2006-02-24,37.54948043823242
2006-02-27,37.491519927978516
2006-02-28,37.01128387451172
2006-03-01,37.094078063964844
2006-03-02,37.094078063964844
2006-03-03,36.5062141418457
2006-03-06,36.10878372192383
2006-03-07,35.45465087890625
2006-03-08,35.396705627441406
2006-03-09,34.75914764404297
2006-03-10,35.22282028198242
2006-03-13,35.46294021606445
2006-03-14,36.8953742980957
2006-03-15,36.64696502685547
2006-03-16,37.52463912963867
2006-03-17,38.23395538330078
2006-03-20,37.53788757324219
2006-03-21,36.80867385864258
2006-03-22,36.9412727355957
2006-03-23,37.89420700073242
2006-03-24,38.043373107910156
2006-03-27,38.093101501464844
2006-03-28,37.70363235473633
2006-03-29,37.74507141113281
2006-03-30,37.13185119628906
2006-03-31,37.08213806152344
2006-04-03,36.568359375
2006-04-04,36.95785140991211
2006-04-05,38.52399826049805
2006-04-06,38.134521484375
2006-04-07,37.93564987182617
2006-04-10,37.529624938964844
2006-04-11,37.1401481628418
2006-04-12,36.601505279541016
2006-04-13,36.212059020996094
2006-04-17,36.04631423950195
2006-04-18,37.35559844970703
2006-04-19,36.95785140991211
2006-04-20,36.924686431884766
2006-04-21,36.6595344543457
2006-04-24,36.212059020996094
2006-04-25,35.31712341308594
2006-04-26,35.98002624511719
2006-04-27,35.29225540161133
2006-04-28,35.11823272705078
2006-05-01,34.70389938354492
2006-05-02,34.34758377075195
2006-05-03,34.38903045654297
2006-05-04,34.123863220214844
2006-05-05,35.093360900878906
2006-05-08,34.579612731933594
2006-05-09,34.21500778198242
2006-05-10,34.48845291137695
2006-05-11,33.43606948852539
2006-05-12,33.07975387573242
2006-05-15,32.798011779785156
2006-05-16,32.18480682373047
2006-05-17,31.513580322265625
2006-05-18,31.646194458007812
2006-05-19,31.563316345214844
2006-05-22,30.974977493286133
2006-05-23,30.701528549194336
2006-05-24,31.066120147705078
2006-05-25,31.240154266357422
2006-05-26,31.472171783447266
2006-05-30,30.50263786315918
2006-05-31,30.41148567199707
2006-06-01,31.024707794189453
2006-06-02,30.50263786315918
2006-06-05,29.176801681518555
2006-06-06,28.38129997253418
2006-06-07,28.165842056274414
2006-06-08,28.174152374267578
2006-06-09,28.489023208618164
2006-06-12,27.61065101623535
2006-06-13,26.964305877685547
2006-06-14,27.279193878173828
2006-06-15,28.422739028930664
2006-06-16,28.294170379638672
2006-06-19,27.71351432800293
2006-06-20,27.248994827270508
2006-06-21,27.920888900756836
2006-06-22,27.920888900756836
2006-06-23,28.0784854888916
2006-06-26,28.468347549438477
2006-06-27,27.813060760498047
2006-06-28,27.622262954711914
2006-06-29,28.40199851989746
2006-06-30,28.18632698059082
2006-07-03,28.028717041015625
2006-07-05,27.48956298828125
2006-07-06,27.7218017578125
2006-07-07,27.439773559570312
2006-07-10,27.390010833740234
2006-07-11,27.0250301361084
2006-07-12,26.27848243713379
2006-07-13,25.855440139770508
2006-07-14,24.967884063720703
2006-07-17,24.7605037689209
2006-07-18,24.38722801208496
2006-07-19,25.465574264526367
2006-07-20,24.519947052001953
2006-07-21,24.50335693359375
2006-07-24,25.382627487182617
2006-07-25,25.65636444091797
2006-07-26,25.598302841186523
2006-07-27,25.266502380371094
2006-07-28,25.946678161621094
2006-07-31,25.764196395874023
2006-08-01,25.565126419067383
2006-08-02,25.81395721435547
2006-08-03,26.884023666381836
2006-08-04,26.8757266998291
2006-08-07,27.07480239868164
2006-08-08,26.228713989257812
2006-08-09,25.1337833404541
2006-08-10,25.291379928588867
2006-08-11,24.87664031982422
2006-08-14,24.660959243774414
2006-08-15,25.415803909301758
2006-08-16,26.195541381835938
2006-08-17,26.469268798828125
2006-08-18,26.5273380279541
2006-08-21,25.847148895263672
2006-08-22,25.855440139770508
2006-08-23,25.1337833404541
2006-08-24,25.407506942749023
2006-08-25,25.548521041870117
2006-08-28,25.90520477294922
2006-08-29,25.946678161621094
2006-08-30,25.838850021362305
2006-08-31,26.04622459411621
2006-09-01,26.137468338012695
2006-09-05,26.07940101623535
2006-09-06,25.067413330078125
2006-09-07,25.448984146118164
2006-09-08,25.523645401000977
2006-09-11,25.9964542388916
2006-09-12,27.3734188079834
2006-09-13,27.248994827270508
2006-09-14,27.240699768066406
2006-09-15,27.88673973083496
2006-09-18,28.01976203918457
2006-09-19,27.52090072631836
2006-09-20,27.437753677368164
2006-09-21,26.8391170501709
2006-09-22,27.29640769958496
2006-09-25,27.96156883239746
2006-09-26,28.502012252807617
2006-09-27,27.870115280151367
2006-09-28,27.88673973083496
2006-09-29,27.204944610595703
2006-10-02,27.554166793823242
2006-10-03,27.371231079101562
2006-10-04,27.986509323120117
2006-10-05,27.936626434326172
2006-10-06,27.728761672973633
2006-10-09,28.393917083740234
2006-10-10,29.05908203125
2006-10-11,28.693227767944336
2006-10-12,29.51636505126953
2006-10-13,28.768070220947266
2006-10-16,28.809642791748047
2006-10-17,28.177745819091797
2006-10-18,28.41055679321289
2006-10-19,28.302461624145508
2006-10-20,28.01976203918457
2006-10-23,27.762006759643555
2006-10-24,28.177745819091797
2006-10-25,28.718183517456055
2006-10-26,29.283571243286133
2006-10-27,28.684921264648438
2006-10-30,28.751445770263672
