Model,Accuracy,Precision_class1,Recall_class1,F1_class1,ROC_AUC
Ridge,0.8938053097345132,0.0,0.0,0.0,0.6245874587458745
RandomForest,0.8938053097345132,0.0,0.0,0.0,0.47854785478547857
XGBoost,0.8761061946902655,0.0,0.0,0.0,0.5288778877887789
