Model,Accuracy,Precision_class1,Recall_class1,F1_class1,ROC_AUC
Ridge,0.7256637168141593,0.1935483870967742,0.5,0.27906976744186046,0.6518151815181519
RandomForest,0.8938053097345132,0.0,0.0,0.0,0.49504950495049505
XGBoost,0.8672566371681416,0.0,0.0,0.0,0.5453795379537953
LSTM,0.9,0.0,0.0,0.0,0.4490358126721763
