date,DJT,SP500,housing
1978-02-28,-0.034933789340784394,-0.025073627033649792,0.009566590150080323
1978-03-31,0.028150188238948992,0.02462533703698444,0.010485910633172502
1978-04-30,0.0807888226209812,0.08196375187034999,0.012196953851184134
1978-05-31,-0.0028091784910833084,0.004225244945849305,0.012449154956941655
1978-06-30,-0.01843183250259095,-0.01774180597558317,0.011901780496618386
1978-07-31,0.09238669753844686,0.05250685179456127,0.011898674227148298
1978-08-31,0.027849435245977716,0.02559340158394008,0.011758758953716253
1978-09-30,-0.015608169558467111,-0.007287599598156724,0.011249290350335173
1978-10-31,-0.15667321477301588,-0.09604186185556784,0.009259719684438394
1978-11-30,0.017337219111810853,0.01650285453802436,0.008880113372584653
1978-12-31,-0.02769202061713827,0.014779407219243978,0.009094018781405921
1979-01-31,0.03795188433920149,0.03897656874184907,0.015279693658586169
1979-02-28,-0.04149222606662484,-0.0372093436914005,0.013603166928525923
1979-03-31,0.08980508710066015,0.05368446881932787,0.014847898116250313
1979-04-30,0.017128305498000707,0.001672051529121532,0.011014710189113153
1979-05-31,0.017698045284760155,-0.02668949748291638,0.011255827556454712
1979-06-30,0.038329506334326524,0.037927232331827376,0.010773420066825246
1979-07-31,0.04940717764736746,0.008707426253574901,0.007251477134213147
1979-08-31,0.04561776826323172,0.05171707658115654,0.007199271554039655
1979-09-30,-0.022548784085411278,0.0,0.006918033396520862
1979-10-31,-0.11605208941335121,-0.07107281279130362,0.006162062012622371
1979-11-30,0.06896700127778921,0.0417408790431022,0.0059273489384930045
1979-12-31,0.015572906952549204,0.01662811528859187,0.0060882397570942715
1980-01-31,0.1095121140530555,0.0560254654386485,0.006014314626978212
1980-02-29,0.027460397363097577,-0.004389437158488718,0.005593734897324509
1980-03-31,-0.16139771652049273,-0.10735682677929415,0.00594510972328699
1980-04-30,-0.01794321213532335,0.040316474849434236,0.005326448593613975
1980-05-31,0.10695893987786143,0.04551879400299086,0.005474352842882446
1980-06-30,0.015735588993005756,0.026611469729811432,0.005269378740997865
1980-07-31,0.13173361671586648,0.06301096685822749,0.009307245594836644
1980-08-31,0.025629448147374667,0.005818488841326186,0.009221418969907802
1980-09-30,0.04205705670196558,0.024856039779900918,0.008843713100597839
1980-10-31,0.07901457217338592,0.015894076999993345,0.0004193332454835996
1980-11-30,0.1639515746874851,0.09746880543104641,0.0004056390118085673
1980-12-31,-0.06698466028184225,-0.034461277338618146,0.00041898752227709224
1981-01-31,0.010295972600185443,-0.04682164989893334,0.0017113693429626764
1981-02-28,-0.02487039180521755,0.01318937279771859,0.001543239624965942
1981-03-31,0.10922214310126588,0.03539858237361315,0.0017058132990790398
1981-04-30,-0.0260903487144466,-0.023735368706591764,0.007002370020143367
1981-05-31,0.021899870753546047,-0.0016578845226344896,0.007184636150201484
1981-06-30,-0.048448314806956105,-0.010462488220334798,0.006904068445583
1981-07-31,-0.020685525727688336,-0.0022127086395693496,0.004760605156581832
1981-08-31,-0.09053160849915276,-0.06411084901845943,0.0047380491330484276
1981-09-30,-0.05947616181189286,-0.05533487143732607,0.004563932897492684
1981-10-31,0.07050588223819343,0.047978278469211766,-0.00406348634632181
1981-11-30,0.050841914575737945,0.03593682809725074,-0.003948190470443258
1981-12-31,-0.03840624697563211,-0.030536686881333708,-0.004096239482258568
1982-01-31,-0.06563650296104573,-0.017699589328131538,-0.004429858101694606
1982-02-28,-0.05708243867388152,-0.06245874360875536,-0.004018099307157463
1982-03-31,-0.009858771931668286,-0.010219145469397617,-0.004467523948727958
1982-04-30,0.029726682739005028,0.03923448337451685,0.007579457794972377
1982-05-31,-0.06935098398807149,-0.03994929606009556,0.007772217591106134
1982-06-30,0.0014046480545273354,-0.020498226988377333,0.007464418881913737
1982-07-31,-0.03785790658367638,-0.023259048579799213,-0.005475264660775636
1982-08-31,0.1554919003538151,0.10973049953747349,-0.005505408304025572
1982-09-30,-0.00041604837855846455,0.007585549077033349,-0.00535682956198702
1982-10-31,0.15332599637172173,0.10476245384996563,0.014681829064375762
1982-11-30,0.05599556532568961,0.035338829177257836,0.014005886957872526
1982-12-31,0.008938531908182945,0.015116529739096052,0.014269573174003014
1983-01-31,0.03327316688273818,0.032597161982335976,0.008578839532449756
1983-02-28,0.059523811206561916,0.01881698894626105,0.007685874821083516
1983-03-31,0.030841873394506614,0.03255891267040134,0.008441018238937836
1983-04-30,0.03400403169216837,0.07230840998700305,0.004172355747577683
1983-05-31,0.026524360638898514,-0.012484057464610565,0.004293223264201451
1983-06-30,0.08337493050101852,0.031817973697581436,0.004137256085200214
1983-07-31,-0.06186596234592212,-0.030771670044400068,0.0029641261459945056
1983-08-31,-0.00398417773583315,0.011255296124446978,0.0029553660617844812
1983-09-30,0.023421118137457064,0.010106984825791976,0.0028517395354894504
1983-10-31,0.027382610955143605,-0.015290657677991426,0.002132551772353608
1983-11-30,0.047868165438828214,0.01727571906345471,0.0020594387054098107
1983-12-31,-0.02657763585581474,-0.008873394655310562,0.002123640312614583
1984-01-31,-0.06101798094407229,-0.00925869457776507,0.0050302676872284735
1984-02-29,-0.0818245679103713,-0.03963452007193968,0.0046829364737694945
1984-03-31,-0.0018016258667366003,0.01340770896321164,0.004981765110980696
1984-04-30,-0.0263742821794537,0.0054506941178766866,0.004467420136195166
1984-05-31,-0.06190837397185689,-0.061191010284930236,0.004595462595356814
1984-06-30,0.015086447237425027,0.017318377468519053,0.004427204432711385
1984-07-31,-0.0012661434965730578,-0.016587985962328133,0.0031166543482763487
1984-08-31,0.09448824721797333,0.10105009590779446,0.003106970985828461
